Program_ID,Industry_Feedback_Score,Student_Performance_Score,Graduate_Employment_Rate,Skill_Gap_Index,Employer_Satisfaction_Level,Curriculum_Flexibility_Score,Technology_Integration_Level,Industry_Trend_Alignment,Recommended_Curriculum_Adjustment_%,Curriculum_Adjustment_Level
VET100,78,90,74,0.34,5,74,46,38,23.4,Medium
VET101,91,86,89,0.37,5,46,49,36,23.1,Medium
VET102,68,89,41,0.13,4,88,77,45,15.1,Medium
VET103,54,41,61,0.48,3,69,31,48,45.0,High
VET104,82,93,42,0.44,1,87,66,35,27.0,High
VET105,47,67,60,0.42,5,81,30,40,38.2,High
VET106,60,88,49,0.43,1,32,33,90,31.9,High
VET107,78,89,47,0.47,5,41,83,71,30.1,High
VET108,97,69,89,0.32,2,68,54,42,22.8,Medium
VET109,58,77,92,0.18,1,41,32,41,22.0,Medium
VET110,62,90,35,0.35,2,31,38,49,27.1,High
VET111,50,43,61,0.4,1,85,63,79,41.4,High
VET112,50,40,72,0.4,3,75,72,65,42.0,High
VET113,63,47,31,0.31,4,51,51,98,33.5,High
VET114,92,68,89,0.13,2,52,99,66,14.5,Medium
VET115,75,94,52,0.25,5,59,31,41,18.7,Medium
VET116,79,78,60,0.47,3,34,95,69,32.1,High
VET117,63,42,34,0.33,1,38,61,83,35.5,High
VET118,42,71,63,0.32,2,50,45,31,33.4,High
VET119,61,49,39,0.21,1,40,30,79,28.5,High
VET120,92,49,31,0.25,1,34,77,70,24.3,Medium
VET121,41,58,40,0.46,1,64,79,74,43.2,High
VET122,63,85,79,0.37,4,56,42,38,28.9,High
VET123,83,73,60,0.41,4,78,44,91,29.3,High
VET124,69,99,85,0.28,5,31,82,76,20.4,Medium
VET125,77,72,38,0.35,2,53,73,34,27.7,High
VET126,41,62,50,0.2,3,60,37,30,29.4,High
VET127,99,94,57,0.38,3,62,75,73,20.4,Medium
VET128,60,67,91,0.27,3,68,98,51,28.1,High
VET129,72,71,36,0.28,1,59,48,67,25.4,High
VET130,51,89,45,0.36,4,75,67,48,30.0,High
VET131,97,46,33,0.47,2,66,40,60,34.9,High
VET132,61,68,33,0.13,1,80,72,96,20.7,Medium
VET133,83,47,69,0.43,4,57,49,71,35.5,High
VET134,64,40,46,0.22,4,89,49,55,30.2,High
VET135,88,96,81,0.28,2,60,50,42,17.2,Medium
VET136,66,94,81,0.11,2,40,86,87,13.5,Medium
VET137,98,42,65,0.22,2,52,79,47,23.0,Medium
VET138,81,63,67,0.3,1,86,55,96,26.2,High
VET139,67,62,79,0.12,5,31,59,32,20.2,Medium
VET140,99,98,92,0.3,2,69,60,84,15.6,Medium
VET141,55,47,92,0.47,5,70,71,87,43.1,High
VET142,54,93,91,0.14,1,56,97,92,17.6,Medium
